Statistical profiling result from isolate-0x4c8d860-11136-v8.log, (20904 ticks, 56 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     14    0.1%    0.2%  LazyCompile: *checkExpressionWorker /mnt/common/github/TypeScript-cph/built/local/tsc.js:81445:39
     14    0.1%    0.2%  LazyCompile: *applyCrit1ToOne /mnt/common/github/TypeScript-cph/built/local/tsc.js:93723:29
     14    0.1%    0.2%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:97218:44
     14    0.1%    0.2%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:91745:44
     13    0.1%    0.2%  LazyCompile: *getCannotFindNameDiagnosticForName /mnt/common/github/TypeScript-cph/built/local/tsc.js:69738:52
     13    0.1%    0.2%  LazyCompile: *compare0 /mnt/common/github/TypeScript-cph/built/local/tsc.js:91592:33
     13    0.1%    0.2%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:97020:49
     13    0.1%    0.2%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:97016:95
     11    0.1%    0.2%  LazyCompile: *getTypeFacts /mnt/common/github/TypeScript-cph/built/local/tsc.js:70143:30
     11    0.1%    0.2%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:92752:43
     11    0.1%    0.2%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:92737:38
     10    0.0%    0.2%  LazyCompile: *mrNarrowTypes /mnt/common/github/TypeScript-cph/built/local/tsc.js:95804:31
     10    0.0%    0.2%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:97757:46
     10    0.0%    0.2%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:97239:45
     10    0.0%    0.2%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:92869:44
      9    0.0%    0.1%  LazyCompile: *processLoopOuter /mnt/common/github/TypeScript-cph/built/local/tsc.js:92862:30
      9    0.0%    0.1%  LazyCompile: *mrNarrowTypesByBinaryExpresionAssign /mnt/common/github/TypeScript-cph/built/local/tsc.js:94940:54
      9    0.0%    0.1%  LazyCompile: *isStatement /mnt/common/github/TypeScript-cph/built/local/tsc.js:14047:25
      9    0.0%    0.1%  LazyCompile: *getNarrowableTypeForReference /mnt/common/github/TypeScript-cph/built/local/tsc.js:72896:47
      9    0.0%    0.1%  LazyCompile: *getDeclarationNodeFlagsFromSymbol /mnt/common/github/TypeScript-cph/built/local/tsc.js:75717:51
      9    0.0%    0.1%  LazyCompile: *checkExpression /mnt/common/github/TypeScript-cph/built/local/tsc.js:81342:33
      9    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:97238:51
      9    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:92918:44
      9    0.0%    0.1%  Function: ^scan /mnt/common/github/TypeScript-cph/built/local/tsc.js:11376:22
      8    0.0%    0.1%  LazyCompile: *resolveEntityName /mnt/common/github/TypeScript-cph/built/local/tsc.js:51505:35
      8    0.0%    0.1%  LazyCompile: *getMergedSymbol /mnt/common/github/TypeScript-cph/built/local/tsc.js:52063:33
      8    0.0%    0.1%  LazyCompile: *forEach /mnt/common/github/TypeScript-cph/built/local/tsc.js:145:21
      8    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:96903:38
      7    0.0%    0.1%  LazyCompile: *visitNode /mnt/common/github/TypeScript-cph/built/local/tsc.js:30626:23
      7    0.0%    0.1%  LazyCompile: *onExit /mnt/common/github/TypeScript-cph/built/local/tsc.js:80412:28
      7    0.0%    0.1%  LazyCompile: *isReadonlySymbol /mnt/common/github/TypeScript-cph/built/local/tsc.js:79755:34
      7    0.0%    0.1%  LazyCompile: *isFunctionLike /mnt/common/github/TypeScript-cph/built/local/tsc.js:13490:28
      7    0.0%    0.1%  LazyCompile: *getPropertyOfType /mnt/common/github/TypeScript-cph/built/local/tsc.js:59919:35
      7    0.0%    0.1%  LazyCompile: *getFlowTypeOfReference /mnt/common/github/TypeScript-cph/built/local/tsc.js:70950:40
      7    0.0%    0.1%  LazyCompile: *getConditionalFlowTypeOfType /mnt/common/github/TypeScript-cph/built/local/tsc.js:60993:46
      7    0.0%    0.1%  LazyCompile: *doPostBlock /mnt/common/github/TypeScript-cph/built/local/tsc.js:93223:29
      7    0.0%    0.1%  LazyCompile: *checkNumericLiteralValueSize /mnt/common/github/TypeScript-cph/built/local/tsc.js:91003:46
      7    0.0%    0.1%  LazyCompile: *checkExpressionStatement /mnt/common/github/TypeScript-cph/built/local/tsc.js:84418:42
      7    0.0%    0.1%  LazyCompile: *checkBlock /mnt/common/github/TypeScript-cph/built/local/tsc.js:83811:28
      7    0.0%    0.1%  LazyCompile: *applyCritToType /mnt/common/github/TypeScript-cph/built/local/tsc.js:93558:29
      7    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:92648:42
      7    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:91735:40
      7    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:50550:44
      7    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:37466:74
      6    0.0%    0.1%  LazyCompile: *onEnter /mnt/common/github/TypeScript-cph/built/local/tsc.js:80357:29
      6    0.0%    0.1%  LazyCompile: *isASubsetOfB /mnt/common/github/TypeScript-cph/built/local/tsc.js:97097:30
      6    0.0%    0.1%  LazyCompile: *getNormalizedType /mnt/common/github/TypeScript-cph/built/local/tsc.js:65159:35
      6    0.0%    0.1%  LazyCompile: *getDeclaredTypeOfSymbol /mnt/common/github/TypeScript-cph/built/local/tsc.js:58045:41
      6    0.0%    0.1%  LazyCompile: *declareSymbol /mnt/common/github/TypeScript-cph/built/local/tsc.js:45099:31
      6    0.0%    0.1%  LazyCompile: *CurrentBranchesMapC.delete /mnt/common/github/TypeScript-cph/built/local/tsc.js:92486:57
      6    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:93100:37
      5    0.0%    0.1%  LazyCompile: *updateHeapWithGroupForFlow /mnt/common/github/TypeScript-cph/built/local/tsc.js:92715:40
      5    0.0%    0.1%  LazyCompile: *token /mnt/common/github/TypeScript-cph/built/local/tsc.js:31956:23
      5    0.0%    0.1%  LazyCompile: *step /mnt/common/github/TypeScript-cph/built/local/tsc.js:30:18
      5    0.0%    0.1%  LazyCompile: *remove /mnt/common/github/TypeScript-cph/built/local/tsc.js:92556:24
      5    0.0%    0.1%  LazyCompile: *isJSDocTypeExpression /mnt/common/github/TypeScript-cph/built/local/tsc.js:29401:35
      5    0.0%    0.1%  LazyCompile: *instantiateTypeWithSingleGenericCallSignature /mnt/common/github/TypeScript-cph/built/local/tsc.js:81106:63
      5    0.0%    0.1%  LazyCompile: *getTypeOfVariableOrParameterOrPropertyWorker /mnt/common/github/TypeScript-cph/built/local/tsc.js:57060:62
      5    0.0%    0.1%  LazyCompile: *getSymbolOfNode /mnt/common/github/TypeScript-cph/built/local/tsc.js:52067:33
      5    0.0%    0.1%  LazyCompile: *getSymbolLinks /mnt/common/github/TypeScript-cph/built/local/tsc.js:49865:32
      5    0.0%    0.1%  LazyCompile: *flowBranchPreWhileLoopResolve_1 /mnt/common/github/TypeScript-cph/built/local/tsc.js:91809:72
      5    0.0%    0.1%  LazyCompile: *checkVariableStatement /mnt/common/github/TypeScript-cph/built/local/tsc.js:84412:40
      5    0.0%    0.1%  LazyCompile: *checkSourceElement /mnt/common/github/TypeScript-cph/built/local/tsc.js:87364:36
      5    0.0%    0.1%  LazyCompile: *checkAssignmentOperatorWorker /mnt/common/github/TypeScript-cph/built/local/tsc.js:80752:55
      5    0.0%    0.1%  LazyCompile: *bind /mnt/common/github/TypeScript-cph/built/local/tsc.js:46985:22
      5    0.0%    0.1%  LazyCompile: *RefTypesSymtabProxy.setAsAssigned /mnt/common/github/TypeScript-cph/built/local/tsc.js:97553:64
      5    0.0%    0.1%  LazyCompile: *<anonymous> /mnt/common/github/TypeScript-cph/built/local/tsc.js:92986:70
      4    0.0%    0.1%  LazyCompile: *visitNodes /mnt/common/github/TypeScript-cph/built/local/tsc.js:30629:24
      4    0.0%    0.1%  LazyCompile: *tryGetTypeAtPosition /mnt/common/github/TypeScript-cph/built/local/tsc.js:79005:38
